kode_prov,kode_kab,kode_kec,kode_desa,kode_sls,kode_subsls,id_rt,id_art,r420a,r420b,r421,r421_desk,r422,r423,r424,r425,r426,r421_kode
14,1,10,8,2,0,62,1,1.0,1.0,03,KEBUN SAWIT,0.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,63,2,1.0,1.0,12,WARUNG HARIAN,0.0,3.0,11,1.0,1.0,12.0
14,1,10,8,2,0,71,1,1.0,1.0,03,KEBUN SAWIT,1.0,2.0,11,1.0,1.0,3.0
14,1,10,8,2,0,87,1,1.0,1.0,03,KEBUN KARET,0.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,73,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,91,2,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,104,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,103,2,1.0,1.0,14,JUALAN LONTONG,0.0,1.0,11,1.0,1.0,14.0
14,1,10,8,2,0,105,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,117,1,1.0,2.0,12,AGEN LPG,2.0,1.0,02,1.0,1.0,12.0
14,1,10,8,2,0,118,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,120,1,1.0,1.0,03,KEBUN SAWIT,2.0,0.0,11,1.0,1.0,3.0
14,1,10,8,2,0,79,1,1.0,1.0,03,KEBUN SAWIT,1.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,96,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,9,1,0,1,1,1.0,1.0,03,KEBUN SAWIT,2.0,0.0,10,1.0,1.0,3.0
14,1,10,8,2,0,133,1,1.0,1.0,12,TOKE SAWIT,1.0,1.0,11,2.0,1.0,12.0
14,1,10,8,2,0,47,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,182,1,1.0,3.0,03,"KEBUN SAWIT, KEBUN KARET",10.0,1.0,11,4.0,1.0,3.0
14,1,10,8,2,0,24,1,1.0,1.0,03,TOKEH SAWIT,4.0,1.0,11,3.0,16.0,3.0
14,1,10,8,2,0,32,1,1.0,2.0,14,WARUNG HARIAN,0.0,2.0,11,3.0,8.0,14.0
14,1,10,8,2,0,34,1,1.0,1.0,12,TOKE SAWIT,2.0,1.0,11,4.0,2.0,12.0
